refno,aquifer,wb_ft,rock_top_ft
336156,Bedrock,26,26
377046,Bedrock,24,40
159275,Bedrock,26,38
159273,Bedrock,4,38
86270,Bedrock,12,57
350187,Bedrock,52,52
325208,Bedrock,16,21
175733,Bedrock,30,
159312,Bedrock,10,10
316859,Bedrock,18,160
145526,Bedrock,2,28
321561,Bedrock,70,
145534,Bedrock,11,26
347545,Bedrock,5,
48876,Bedrock,8,23
72098,Bedrock,29,29
361346,Bedrock,47,62
54082,Bedrock,15,42
175797,Bedrock,2,58
54100,Bedrock,121,121
350177,Bedrock,42,42
180254,Bedrock,96,226
214304,Bedrock,28,100
47674,Bedrock,9,
274748,Bedrock,28,150
72127,Bedrock,59,
64917,Bedrock,91,
175822,Bedrock,12,
286506,Bedrock,82,82
247759,Bedrock,13,
270164,Bedrock,2,68
321554,Bedrock,103,103
321556,Bedrock,20,20
175316,Bedrock,2,129
175321,Bedrock,5,
177941,Bedrock,1,26
48830,Bedrock,21,53
347535,Bedrock,12,185
347957,Bedrock,47,47
347958,Bedrock,56,56
174838,Bedrock,54,123
329656,Bedrock,56,56
283701,Bedrock,17,181
325223,Bedrock,54,54
226947,Bedrock,86,86
305243,Bedrock,37,75
352162,Bedrock,23,34
53989,Bedrock,77,217
279918,Bedrock,15,59
321460,Bedrock,31,
325222,Bedrock,76,76
180040,Bedrock,93,
58836,Bedrock,2,
321573,Bedrock,56,56
366494,Bedrock,62,62
173948,Bedrock,45,135
179975,Bedrock,88,
161178,Bedrock,12,56
188613,Bedrock,39,39
172124,Bedrock,52,80
171249,Bedrock,59,73
161635,Bedrock,1,125
165939,Bedrock,4,53
348816,Bedrock,12,80
355600,Bedrock,38,
166435,Bedrock,15,
369269,Bedrock,42,
145540,Bedrock,26,6
54616,Bedrock,11,
357538,Bedrock,60,93
64918,Bedrock,70,
305236,Bedrock,44,34
166460,Bedrock,26,95
63791,Bedrock,94,
166278,Bedrock,2,140
321568,Bedrock,36,89
303595,Bedrock,16,
47731,Bedrock,63,
377092,Bedrock,30,37
327431,Bedrock,7,
160176,Bedrock,8,
63694,Bedrock,6,
276355,Bedrock,26,26
227811,Bedrock,11,11
286512,Bedrock,53,57
226710,Bedrock,9,23
283887,Bedrock,13,44
305836,Bedrock,176,176
170901,Bedrock,10,89
350172,Bedrock,59,59
48911,Bedrock,21,
167579,Bedrock,1,
321598,Bedrock,95,109
268867,Bedrock,16,
316423,Bedrock,10,
415353,Bedrock,13,35
240556,Bedrock,5,
161639,Bedrock,72,
62161,Bedrock,16,
274547,Bedrock,28,3
172402,Bedrock,75,250
347959,Bedrock,53,67
166393,Bedrock,14,
62162,Bedrock,2,
347960,Bedrock,54,59
174031,Bedrock,35,
173196,Bedrock,35,
63649,Bedrock,33,
70208,Bedrock,36,
349285,Bedrock,51,51
75184,Bedrock,27,
23200,Bedrock,50,50
305178,Bedrock,3,
338730,Bedrock,116,
276078,Bedrock,13,
176462,Bedrock,10,32
176495,Bedrock,30,
176505,Bedrock,2,
172961,Bedrock,7,
349286,Bedrock,73,73
285815,Bedrock,11,0
311274,Bedrock,12,
336164,Bedrock,78,78
166284,Bedrock,86,103
161658,Bedrock,2,27
161633,Bedrock,3,
167807,Bedrock,163,163
189857,Bedrock,197,197
63861,Bedrock,19,
233626,Bedrock,38,
356138,Bedrock,1,
370060,Bedrock,8,78
276358,Bedrock,79,79
154456,Bedrock,73,89
63906,Bedrock,32,
279921,Bedrock,80,83
177004,Bedrock,11,
239528,Bedrock,38,78
247824,Bedrock,6,
163968,Bedrock,1,10
164021,Bedrock,17,100
162988,Bedrock,18,97
66956,Bedrock,69,228
66656,Bedrock,25,
162958,Bedrock,11,
48775,Bedrock,12,215
162874,Bedrock,3,
163978,Bedrock,3,15
356665,Bedrock,7,
335237,Bedrock,25,
47833,Bedrock,6,
71780,Bedrock,4,7
239531,Bedrock,2,
164067,Bedrock,2,17
162565,Bedrock,6,57
164022,Bedrock,10,27
158480,Bedrock,158,175
65636,Bedrock,12,
404523,Bedrock,34,34
274545,Bedrock,15,
162962,Bedrock,12,21
66883,Bedrock,1,195
65640,Bedrock,8,120
275127,Bedrock,5,
239568,Bedrock,4,
239598,Bedrock,3,
392870,Bedrock,22,42
239589,Bedrock,1,
65492,Bedrock,31,
65530,Bedrock,8,
156581,Bedrock,18,
154373,Bedrock,12,
347532,Bedrock,56,56
157977,Bedrock,160,235
70424,Bedrock,80,80
263570,Bedrock,140,
349536,Bedrock,12,
65428,Bedrock,25,
296028,Bedrock,2,127
156268,Bedrock,29,
65430,Bedrock,44,
369663,Bedrock,2,
162579,Bedrock,3,114
65421,Bedrock,20,
47772,Bedrock,18,
162758,Bedrock,66,68
366539,Bedrock,50,
334482,Bedrock,18,
23351,Bedrock,30,138
370068,Bedrock,61,65
162682,Bedrock,50,
162115,Bedrock,18,40
157948,Bedrock,150,350
359756,Bedrock,38,
164882,Bedrock,52,59
82169,Bedrock,2,
159740,Bedrock,7,
322848,Bedrock,14,
376683,Bedrock,30,
355712,Bedrock,19,
351206,Bedrock,29,
334477,Bedrock,22,
164765,Bedrock,45,
331858,Bedrock,14,
331863,Bedrock,17,
164800,Bedrock,17,
168767,Bedrock,13,150
52096,Bedrock,2,42
158362,Bedrock,13,
412523,Bedrock,31,225
162678,Bedrock,5,
281782,Bedrock,16,
201963,Bedrock,17,
157275,Bedrock,19,
148873,Bedrock,15,
158461,Bedrock,11,
201951,Bedrock,12,
158393,Bedrock,2,
156620,Bedrock,5,
317171,Bedrock,38,
326478,Bedrock,36,
148925,Bedrock,31,
278609,Bedrock,52,
339756,Bedrock,33,
375781,Bedrock,18,20
131568,Bedrock,22,
163305,Bedrock,3,128
359717,Bedrock,39,
148854,Bedrock,21,
148899,Bedrock,53,
157752,Bedrock,5,
359712,Bedrock,50,
148183,Bedrock,11,256
370617,Bedrock,3,
154127,Bedrock,6,152
150755,Bedrock,2,
152589,Bedrock,2,3
269502,Bedrock,68,
148360,Bedrock,16,
303275,Bedrock,10,
226096,Bedrock,15,
72787,Bedrock,11,50
274405,Bedrock,12,
335748,Bedrock,4,
335750,Bedrock,9,
157297,Bedrock,19,
266735,Bedrock,3,
131601,Bedrock,19,
170470,Bedrock,3,48
155109,Bedrock,29,415
355713,Bedrock,20,
316091,Bedrock,15,
357459,Bedrock,15,
278881,Bedrock,6,50
153853,Bedrock,16,
268639,Bedrock,3,
305300,Bedrock,45,45
275909,Bedrock,45,
153681,Bedrock,11,96
266730,Bedrock,49,
148222,Bedrock,3,80
156954,Bedrock,26,
344121,Bedrock,38,
153803,Bedrock,4,35
370256,Bedrock,37,
150229,Bedrock,11,50
319654,Bedrock,12,
2429,Bedrock,4,30
256760,Bedrock,25,
149559,Bedrock,7,
366210,Bedrock,29,
71284,Bedrock,12,
28091,Bedrock,25,
18869,Bedrock,25,
28090,Bedrock,33,
302665,Bedrock,8,
150919,Bedrock,10,50
298763,Bedrock,2,98
153595,Bedrock,10,20
27800,Bedrock,18,
27801,Bedrock,12,
149194,Bedrock,9,
365303,Bedrock,10,
360222,Bedrock,3,
27820,Bedrock,52,
150643,Bedrock,20,
154891,Bedrock,13,
149599,Bedrock,33,
153332,Bedrock,23,
27814,Bedrock,12,
149631,Bedrock,11,
27815,Bedrock,18,
153360,Bedrock,16,39
27825,Bedrock,72,
23140,Bedrock,8,
27808,Bedrock,20,
153322,Bedrock,24,
148998,Bedrock,20,
350727,Bedrock,36,
27816,Bedrock,25,
72765,Bedrock,6,
238143,Bedrock,9,
27817,Bedrock,7,
329602,Bedrock,6,
117542,Bedrock,11,
117541,Bedrock,7,
131598,Bedrock,32,
308034,Bedrock,15,
364731,Bedrock,24,
275908,Bedrock,12,
370037,Bedrock,21,
370226,Bedrock,21,
331860,Bedrock,90,
149678,Bedrock,28,
326375,Bedrock,22,
327339,Bedrock,17,
28036,Bedrock,20,
360200,Bedrock,13,
153347,Bedrock,45,
347853,Bedrock,33,
376665,Bedrock,13,
117536,Bedrock,17,
326376,Bedrock,14,
373225,Bedrock,5,
28035,Bedrock,24,
327340,Bedrock,5,
28037,Bedrock,32,
71315,Bedrock,37,
28546,Bedrock,22,89
27812,Bedrock,6,
256721,Bedrock,9,
225695,Bedrock,21,21
347842,Bedrock,28,
346785,Bedrock,5,
331851,Bedrock,13,
153345,Bedrock,23,55
359736,Bedrock,17,
56087,Bedrock,5,
357450,Bedrock,11,
309610,Bedrock,5,
143672,Bedrock,5,
374286,Bedrock,54,
338958,Bedrock,11,
20695,Bedrock,19,
29167,Bedrock,50,56
149267,Bedrock,5,
331876,Bedrock,23,
18956,Bedrock,12,
356809,Bedrock,4,
20700,Bedrock,31,
152460,Bedrock,7,27
339763,Bedrock,36,
238153,Bedrock,7,
356825,Bedrock,36,
325192,Bedrock,52,
340899,Bedrock,42,64
357469,Bedrock,32,
152918,Bedrock,25,
152292,Bedrock,5,
202042,Bedrock,19,
361057,Bedrock,11,
72762,Bedrock,54,
352320,Bedrock,32,
29846,Bedrock,20,40
327341,Bedrock,5,
266587,Bedrock,3,
72786,Bedrock,47,
150253,Bedrock,124,124
350697,Bedrock,5,
149311,Bedrock,54,
29859,Bedrock,15,20
148835,Bedrock,48,
148754,Bedrock,10,
148316,Bedrock,80,840
343104,Bedrock,11,
278632,Bedrock,3,
335756,Bedrock,23,
338967,Bedrock,7,
153113,Bedrock,27,63
148783,Bedrock,12,
360213,Bedrock,19,
266710,Bedrock,16,
71305,Bedrock,5,
371601,Bedrock,1,
31265,Bedrock,75,75
152997,Bedrock,60,119
117567,Bedrock,25,
150211,Bedrock,4,136
20693,Bedrock,19,
148747,Bedrock,27,
269568,Bedrock,27,
153022,Bedrock,79,96
153123,Bedrock,11,26
148709,Bedrock,12,
374293,Bedrock,52,
150721,Bedrock,48,
373272,Bedrock,15,
202037,Bedrock,21,
28549,Bedrock,20,
331909,Bedrock,5,
20687,Bedrock,29,
147919,Bedrock,29,
336106,Bedrock,4,
295869,Bedrock,12,
338966,Bedrock,21,
309615,Bedrock,7,
54462,Bedrock,49,49
275868,Bedrock,37,
336110,Bedrock,1,
296095,Bedrock,16,
147974,Bedrock,34,
275869,Bedrock,30,
275901,Bedrock,44,
266588,Bedrock,10,
334435,Bedrock,29,
147783,Bedrock,13,
147900,Bedrock,14,
18939,Bedrock,25,
147773,Bedrock,9,
364733,Bedrock,14,
29394,Bedrock,10,40
274431,Bedrock,14,
336109,Bedrock,6,
226611,Bedrock,15,
376676,Bedrock,11,
147970,Bedrock,23,
274430,Bedrock,20,
147788,Bedrock,8,
287036,Bedrock,16,
332324,Bedrock,14,
147050,Bedrock,6,
29048,Bedrock,14,
147798,Bedrock,21,
144343,Bedrock,6,8
360198,Bedrock,3,
376014,Bedrock,24,
409199,Bedrock,35,52
29052,Bedrock,5,
367946,Bedrock,23,
147975,Bedrock,20,40
303284,Bedrock,13,
148623,Bedrock,33,
29028,Bedrock,5,
147962,Bedrock,55,
147912,Bedrock,3,
54453,Bedrock,54,54
148544,Bedrock,22,
319498,Bedrock,21,
336104,Bedrock,36,128
147068,Bedrock,12,
30611,Bedrock,12,152
302250,Bedrock,3,
147137,Bedrock,10,
30804,Bedrock,10,
352948,Bedrock,24,
226736,Bedrock,15,15
152538,Bedrock,67,75
335793,Bedrock,20,
147133,Bedrock,25,
284349,Bedrock,21,
378397,Bedrock,26,
147118,Bedrock,21,
327238,Bedrock,8,
147058,Bedrock,20,
329096,Bedrock,8,
305766,Bedrock,5,
270408,Bedrock,68,
334430,Bedrock,10,
349238,Bedrock,15,
351679,Bedrock,29,
142177,Bedrock,106,116
305758,Bedrock,79,
376677,Bedrock,2,
143104,Bedrock,5,120
144869,Bedrock,17,
278642,Bedrock,32,
71307,Bedrock,7,
151025,Bedrock,16,
152051,Bedrock,17,
325193,Bedrock,30,
326765,Bedrock,17,
326766,Bedrock,12,
366561,Bedrock,19,
334427,Bedrock,11,
334428,Bedrock,14,
144601,Bedrock,16,
343109,Bedrock,15,
54517,Bedrock,2,41
30992,Bedrock,7,47
352830,Bedrock,13,
144768,Bedrock,3,
131595,Bedrock,9,
151623,Bedrock,9,
151916,Bedrock,11,
117570,Bedrock,23,132
151841,Bedrock,18,46
151800,Bedrock,20,
376675,Bedrock,14,
147265,Bedrock,7,
151820,Bedrock,11,
297320,Bedrock,2,
297318,Bedrock,19,
297319,Bedrock,17,136
30995,Bedrock,10,54
297316,Bedrock,5,
141511,Bedrock,9,215
274432,Bedrock,38,
72785,Bedrock,7,
143112,Bedrock,26,
30969,Bedrock,19,36
334448,Bedrock,24,
143911,Bedrock,16,143
143896,Bedrock,16,
144349,Bedrock,5,
147280,Bedrock,17,
143097,Bedrock,23,36
280982,Bedrock,41,
147290,Bedrock,38,
148267,Bedrock,29,
337288,Bedrock,20,
280983,Bedrock,5,
128221,Bedrock,55,
151728,Bedrock,14,
319496,Bedrock,7,
309639,Bedrock,4,
131591,Bedrock,35,
18517,Bedrock,5,98
264384,Bedrock,10,
377661,Bedrock,58,17
151753,Bedrock,18,19
302249,Bedrock,13,
336084,Bedrock,33,
304758,Bedrock,39,
304764,Bedrock,39,
131573,Bedrock,8,
151734,Bedrock,21,
376017,Bedrock,19,
375475,Bedrock,13,
147120,Bedrock,45,180
55985,Bedrock,29,104
344074,Bedrock,17,
144030,Bedrock,35,
270436,Bedrock,62,
266685,Bedrock,25,
329613,Bedrock,33,
280111,Bedrock,48,
318547,Bedrock,15,
297277,Bedrock,6,
143930,Bedrock,8,
151814,Bedrock,8,
151807,Bedrock,45,
141842,Bedrock,112,97
144035,Bedrock,15,
201703,Bedrock,31,63
151792,Bedrock,79,
117556,Bedrock,22,
285693,Bedrock,21,
143940,Bedrock,3,
72045,Bedrock,15,
301384,Bedrock,10,15
270431,Bedrock,24,
145000,Bedrock,10,
117555,Bedrock,14,
337294,Bedrock,29,
374290,Bedrock,33,
140392,Bedrock,31,94
142331,Bedrock,25,
146077,Bedrock,54,
319637,Bedrock,54,
139332,Bedrock,59,
280094,Bedrock,40,
374522,Bedrock,17,
256782,Bedrock,20,
146041,Bedrock,18,
144160,Bedrock,63,
144736,Bedrock,6,
142110,Bedrock,38,
144726,Bedrock,6,
28978,Bedrock,5,19
145025,Bedrock,14,
299137,Bedrock,19,28
346779,Bedrock,60,
146006,Bedrock,60,
86527,Bedrock,9,
140225,Bedrock,12,109
368797,Bedrock,15,
144756,Bedrock,15,88
329612,Bedrock,27,
142070,Bedrock,40,
142764,Bedrock,11,
374281,Bedrock,34,
136379,Bedrock,121,131
170514,Bedrock,63,38
137848,Bedrock,32,
140230,Bedrock,20,22
139205,Bedrock,45,
140285,Bedrock,20,25
447606,Bedrock,9,29
373393,Bedrock,2,
131617,Bedrock,13,
299138,Bedrock,31,40
303516,Bedrock,31,
337253,Bedrock,2,
272453,Bedrock,111,122
447607,Bedrock,16,92
141607,Bedrock,30,
360634,Bedrock,10,46
134209,Bedrock,26,42
281820,Bedrock,21,
140369,Bedrock,3,67
201734,Bedrock,49,61
352957,Bedrock,24,
336116,Bedrock,43,
144999,Bedrock,21,
347688,Bedrock,16,45
137974,Bedrock,11,43
301377,Bedrock,21,26
224909,Bedrock,8,78
137939,Bedrock,42,65
22726,Bedrock,10,
140051,Bedrock,3,48
326421,Bedrock,24,
250927,Bedrock,95,
142517,Bedrock,24,
140423,Bedrock,11,83
140418,Bedrock,14,83
239181,Bedrock,25,
143068,Bedrock,13,
18419,Bedrock,3,70
137347,Bedrock,7,52
140267,Bedrock,160,160
95787,Bedrock,50,
359961,Bedrock,30,
136448,Bedrock,71,35
23325,Bedrock,18,
349048,Bedrock,3,
22735,Bedrock,11,
336083,Bedrock,23,
346088,Bedrock,21,
250933,Bedrock,10,
145027,Bedrock,9,54
361230,Bedrock,19,
137551,Bedrock,10,
137521,Bedrock,92,92
281776,Bedrock,65,
327902,Bedrock,10,
140949,Bedrock,60,
14873,Bedrock,81,100
140993,Bedrock,108,
141484,Bedrock,52,
142818,Bedrock,15,
142788,Bedrock,10,15
383326,Bedrock,26,
22728,Bedrock,11,
138000,Bedrock,16,18
308581,Bedrock,8,
22702,Bedrock,3,
297288,Bedrock,2,
324867,Bedrock,7,
368792,Bedrock,10,
137925,Bedrock,5,30
137447,Bedrock,78,96
201726,Bedrock,34,47
137950,Bedrock,10,46
381652,Bedrock,15,73
421699,Bedrock,14,44
134336,Bedrock,2,
117534,Bedrock,36,
370552,Bedrock,15,
72791,Bedrock,15,
22707,Bedrock,34,
327890,Bedrock,19,
336077,Bedrock,15,
308028,Bedrock,11,
139960,Bedrock,25,
367915,Bedrock,23,
140090,Bedrock,4,
140199,Bedrock,5,
170498,Bedrock,2,49
141057,Bedrock,6,
138538,Bedrock,5,
170525,Bedrock,12,34
346775,Bedrock,11,
142064,Bedrock,70,75
132719,Bedrock,8,
301371,Bedrock,24,57
22723,Bedrock,5,
72771,Bedrock,8,
368741,Bedrock,15,
346085,Bedrock,13,
303236,Bedrock,15,
336126,Bedrock,12,
336125,Bedrock,14,
319610,Bedrock,6,
297262,Bedrock,4,
275874,Bedrock,25,
133468,Bedrock,10,
336065,Bedrock,24,
340111,Bedrock,5,59
282713,Bedrock,15,
373239,Bedrock,2,
142037,Bedrock,24,159
368747,Bedrock,18,
142028,Bedrock,6,
280965,Bedrock,5,
347693,Bedrock,15,
348417,Bedrock,19,
133724,Bedrock,18,40
303264,Bedrock,4,
357440,Bedrock,20,
327875,Bedrock,61,
341259,Bedrock,10,
360803,Bedrock,2,
22904,Bedrock,15,
336063,Bedrock,5,
378792,Bedrock,17,
58556,Bedrock,22,
250882,Bedrock,17,
250926,Bedrock,16,
308030,Bedrock,14,
141208,Bedrock,11,
242635,Bedrock,7,
141214,Bedrock,14,
243051,Bedrock,2,
140579,Bedrock,46,
136905,Bedrock,26,40
347846,Bedrock,2,
282731,Bedrock,26,
259748,Bedrock,10,51
133382,Bedrock,7,
140825,Bedrock,63,
141242,Bedrock,8,127
133387,Bedrock,12,
371605,Bedrock,3,
352959,Bedrock,20,
140593,Bedrock,20,
360613,Bedrock,3,11
140654,Bedrock,6,
140603,Bedrock,17,
121614,Bedrock,11,41
141262,Bedrock,32,
375576,Bedrock,7,
381154,Bedrock,15,
337252,Bedrock,3,35
373230,Bedrock,14,
355916,Bedrock,6,
319638,Bedrock,32,
309611,Bedrock,12,
256722,Bedrock,10,
306827,Bedrock,8,
48772,Bedrock,5,
141254,Bedrock,14,
275820,Bedrock,18,
95837,Bedrock,64,
346090,Bedrock,46,
327871,Bedrock,43,
378486,Bedrock,14,
297246,Bedrock,35,
327330,Bedrock,14,
270430,Bedrock,28,
337249,Bedrock,7,
318557,Bedrock,21,
270432,Bedrock,28,
266672,Bedrock,10,
351743,Bedrock,24,12
136615,Bedrock,2,59
285669,Bedrock,23,
309635,Bedrock,20,
140102,Bedrock,1,
336123,Bedrock,5,
131572,Bedrock,14,
297328,Bedrock,3,
141251,Bedrock,18,
317419,Bedrock,14,
135011,Bedrock,9,
359947,Bedrock,35,
349450,Bedrock,5,
336128,Bedrock,6,
140544,Bedrock,10,
140550,Bedrock,15,80
201732,Bedrock,12,
48778,Bedrock,6,
339952,Bedrock,4,
370562,Bedrock,8,8
370563,Bedrock,23,
275823,Bedrock,18,
139683,Bedrock,28,123
368736,Bedrock,36,
140116,Bedrock,6,
318552,Bedrock,5,
139546,Bedrock,2,
308795,Bedrock,70,
138291,Bedrock,39,155
303268,Bedrock,21,
303235,Bedrock,8,
23093,Bedrock,11,
406418,Bedrock,32,
250936,Bedrock,17,
250931,Bedrock,7,
140445,Bedrock,30,110
316787,Bedrock,9,
214623,Bedrock,3,165
138173,Bedrock,4,210
138262,Bedrock,9,156
138272,Bedrock,11,163
131328,Bedrock,3,110
137054,Bedrock,4,86
273643,Bedrock,33,
132189,Bedrock,10,59
132429,Bedrock,18,93
268611,Bedrock,8,53
132199,Bedrock,36,50
135650,Bedrock,6,50
303229,Bedrock,11,
321222,Bedrock,7,
137034,Bedrock,1,115
137098,Bedrock,5,
137660,Bedrock,3,
132168,Bedrock,3,42
352312,Bedrock,11,
321231,Bedrock,7,
256836,Bedrock,23,
33253,Bedrock,5,
135683,Bedrock,20,87
137062,Bedrock,7,70
353322,Bedrock,5,224
337269,Bedrock,14,
242575,Bedrock,10,140
132248,Bedrock,20,48
135698,Bedrock,10,
301350,Bedrock,60,101
132228,Bedrock,25,58
323798,Bedrock,7,40
131332,Bedrock,3,103
135738,Bedrock,3,26
294775,Bedrock,18,29
131372,Bedrock,5,58
132492,Bedrock,20,0
54806,Bedrock,3,33
137022,Bedrock,20,42
136750,Bedrock,4,
34365,Bedrock,6,74
34367,Bedrock,6,74
131391,Bedrock,12,35
58506,Bedrock,13,
134072,Bedrock,9,
297243,Bedrock,12,
136780,Bedrock,26,
135677,Bedrock,8,17
346132,Bedrock,10,
133925,Bedrock,25,
359982,Bedrock,23,
135721,Bedrock,37,41
131426,Bedrock,5,31
137150,Bedrock,5,
135732,Bedrock,16,21
319633,Bedrock,3,
135756,Bedrock,15,75
337256,Bedrock,3,
264363,Bedrock,16,40
135742,Bedrock,32,40
242595,Bedrock,3,
137639,Bedrock,2,
277564,Bedrock,9,
136740,Bedrock,4,
136735,Bedrock,12,
133900,Bedrock,22,
327507,Bedrock,4,
135656,Bedrock,2,7
132670,Bedrock,38,73
135661,Bedrock,6,7
136962,Bedrock,22,64
54804,Bedrock,36,43
304365,Bedrock,1,
134102,Bedrock,18,
135625,Bedrock,68,80
134007,Bedrock,10,
132685,Bedrock,27,
136902,Bedrock,32,
348498,Bedrock,32,46
130968,Bedrock,16,16
368825,Bedrock,11,
58496,Bedrock,14,
137568,Bedrock,34,
130963,Bedrock,18,32
130958,Bedrock,20,37
135666,Bedrock,32,50
344094,Bedrock,4,
133909,Bedrock,13,
133997,Bedrock,4,
136969,Bedrock,3,144
132127,Bedrock,10,20
136921,Bedrock,2,
132491,Bedrock,17,153
133875,Bedrock,11,
304399,Bedrock,6,
137657,Bedrock,18,
133904,Bedrock,6,
136941,Bedrock,9,
321210,Bedrock,2,
281673,Bedrock,21,
137021,Bedrock,2,112
136841,Bedrock,12,
137676,Bedrock,2,
341431,Bedrock,7,
133987,Bedrock,2,
137647,Bedrock,11,
341435,Bedrock,2,110
137094,Bedrock,13,
137104,Bedrock,9,
250891,Bedrock,7,
136936,Bedrock,12,
136871,Bedrock,4,
132401,Bedrock,32,
137572,Bedrock,10,
269601,Bedrock,10,60
33641,Bedrock,10,60
136944,Bedrock,11,
133908,Bedrock,28,
304404,Bedrock,30,
137030,Bedrock,3,
241873,Bedrock,25,
134066,Bedrock,4,
273626,Bedrock,2,
308242,Bedrock,13,
241485,Bedrock,42,
352013,Bedrock,1,198
245379,Bedrock,1,
273635,Bedrock,12,
248080,Bedrock,2,
137128,Bedrock,7,
136893,Bedrock,12,
137656,Bedrock,6,
132410,Bedrock,2,
135734,Bedrock,6,
332118,Bedrock,4,2
135568,Bedrock,6,14
135573,Bedrock,5,12
136883,Bedrock,2,
136888,Bedrock,14,
137080,Bedrock,26,
137060,Bedrock,25,
350370,Bedrock,3,
121610,Bedrock,9,20
317312,Bedrock,2,
129252,Bedrock,23,58
273633,Bedrock,20,
245364,Bedrock,6,
130299,Bedrock,15,43
130466,Bedrock,6,
129246,Bedrock,4,84
261597,Bedrock,3,
258661,Bedrock,3,
130350,Bedrock,37,55
133036,Bedrock,7,
130432,Bedrock,27,
132366,Bedrock,2,
129172,Bedrock,7,70
130325,Bedrock,4,42
331290,Bedrock,19,
130452,Bedrock,5,
130388,Bedrock,14,
130398,Bedrock,3,
129162,Bedrock,3,44
321212,Bedrock,7,
259275,Bedrock,3,
72150,Bedrock,2,
72149,Bedrock,6,
72147,Bedrock,16,
129139,Bedrock,2,70
259295,Bedrock,4,
241911,Bedrock,24,
130269,Bedrock,10,62
130274,Bedrock,8,54
258641,Bedrock,8,
242371,Bedrock,45,
130155,Bedrock,32,54
332895,Bedrock,10,
256453,Bedrock,15,
130231,Bedrock,13,
259250,Bedrock,5,
336507,Bedrock,20,
376060,Bedrock,2,
96041,Bedrock,15,
303749,Bedrock,7,30
132910,Bedrock,18,
131258,Bedrock,144,
259245,Bedrock,12,
129176,Bedrock,4,42
237129,Bedrock,9,
129371,Bedrock,23,
372990,Bedrock,2,
285262,Bedrock,8,
130174,Bedrock,10,50
132890,Bedrock,6,
130312,Bedrock,4,
352016,Bedrock,3,
353593,Bedrock,18,79
128766,Bedrock,2,30
128716,Bedrock,15,38
245324,Bedrock,6,
129063,Bedrock,42,70
129098,Bedrock,12,108
128873,Bedrock,13,88
129073,Bedrock,8,83
130180,Bedrock,31,59
277431,Bedrock,16,
127103,Bedrock,28,110
128585,Bedrock,2,
127004,Bedrock,18,84
128795,Bedrock,12,
127113,Bedrock,35,62
128627,Bedrock,2,
129081,Bedrock,125,127
128648,Bedrock,20,
127098,Bedrock,2,60
127083,Bedrock,18,27
127093,Bedrock,32,50
130991,Bedrock,4,
